model_base,prompt_base,filename,foldername,object,flag,gpt_raw_answer_base,gpt_norm_base,model_miti,prompt_miti,gpt_raw_answer_miti,gpt_norm_miti
gpt-5.1,baseline,288107019_81bce843b0_z.jpg,car,building,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,8735069863_c5f3734e61_z.jpg,car,road,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,111672957_a90b5132fc_z.jpg,cat,blanket,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,256248429_ebcfe37830_z.jpg,cat,bowl,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,2979408443_0b9cd6b26f_z.jpg,cat,bowl,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,2979408443_0b9cd6b26f_z.jpg,cat,toy,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,459282725_4a2d394024_z.jpg,cat,blanket,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,459282725_4a2d394024_z.jpg,cat,mouse,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,2609945215_4531801330_z.jpg,chair,window,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,3022047945_a6f93f535f_z.jpg,chair,plant,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,3165229121_8c10458feb_z.jpg,chair,sofa,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,4794902745_964b0dc4da_z.jpg,chair,cup,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,6686907917_f9a48ae947_z.jpg,chair,desk,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,8140835563_609e759460_z.jpg,chair,plant,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,8140835563_609e759460_z.jpg,chair,table,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,8140835563_609e759460_z.jpg,chair,window,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,2947968946_b188a76229_z.jpg,dog,leash,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,4104251557_561fb940c5_z.jpg,person,shoe,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,5866038566_85ab79139a_z.jpg,person,chair,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,7623114080_0e00c2d9d8_z.jpg,person,bag,0,yes,yes,gpt-5.1,mitigate1,no,no
gpt-5.1,baseline,7623114080_0e00c2d9d8_z.jpg,person,shoe,0,yes,yes,gpt-5.1,mitigate1,no,no
